"Dataset_ID","slice","Longitude","Latitude","MAAT_WAPLS","biome"
7,"0",-80.116667,47,3.2,3
7,"1000",-80.116667,47,1.94,3
7,"2000",-80.116667,47,2.375,3
7,"3000",-80.116667,47,3.5,3
7,"4000",-80.116667,47,2.68,3
7,"5000",-80.116667,47,3.2,3
7,"6000",-80.116667,47,4.66666666666667,3
7,"7000",-80.116667,47,4.61666666666667,3
7,"8000",-80.116667,47,5.26666666666667,3
8,"0",-119.976667,33.956389,12.05,3
8,"1000",-119.976667,33.956389,11.5888888888889,3
8,"2000",-119.976667,33.956389,11.6,3
8,"3000",-119.976667,33.956389,11.3,3
8,"4000",-119.976667,33.956389,11.6333333333333,3
8,"5000",-119.976667,33.956389,11.925,3
9,"0",41.333333,43.305556,3.7,3
9,"1000",41.333333,43.305556,4.45789473684211,3
9,"2000",41.333333,43.305556,5.75,3
9,"3000",41.333333,43.305556,5.88333333333333,3
9,"4000",41.333333,43.305556,8,3
9,"5000",41.333333,43.305556,6.575,3
11,"2000",135.583333,67.75,-11.2,1
11,"3000",135.583333,67.75,-11.2,1
11,"6000",135.583333,67.75,-11.4,1
11,"7000",135.583333,67.75,-11.9,1
11,"8000",135.583333,67.75,-12.25,1
11,"9000",135.583333,67.75,-12.5,1
11,"10000",135.583333,67.75,-12.8333333333333,1
12,"0",13.42774,55.934475,7.8,3
12,"1000",13.42774,55.934475,8.2,3
12,"2000",13.42774,55.934475,8.87647058823529,3
12,"3000",13.42774,55.934475,8.86,3
12,"4000",13.42774,55.934475,9.63333333333333,3
12,"5000",13.42774,55.934475,9.83333333333333,3
12,"6000",13.42774,55.934475,9.62,3
12,"7000",13.42774,55.934475,9.72222222222222,3
12,"8000",13.42774,55.934475,7.4125,3
12,"9000",13.42774,55.934475,8.12222222222222,3
12,"10000",13.42774,55.934475,5.74285714285714,3
16,"1000",8.729075,53.693998,8.7,3
16,"2000",8.729075,53.693998,8.81875,3
16,"3000",8.729075,53.693998,7.98888888888889,3
16,"4000",8.729075,53.693998,8.47777777777778,3
16,"5000",8.729075,53.693998,8,3
19,"5000",138.55,47.116667,-7.7,2
20,"0",27.67406,69.12326,0.2,3
20,"1000",27.67406,69.12326,-0.1,3
20,"2000",27.67406,69.12326,0.166666666666667,3
20,"3000",27.67406,69.12326,0.166666666666667,3
20,"4000",27.67406,69.12326,0.0666666666666667,3
20,"5000",27.67406,69.12326,0.733333333333333,3
20,"6000",27.67406,69.12326,0.833333333333333,3
20,"7000",27.67406,69.12326,0.8,3
20,"8000",27.67406,69.12326,0.475,3
20,"9000",27.67406,69.12326,-0.7,3
20,"10000",27.67406,69.12326,-2.46666666666667,3
24,"5000",-60.583333,53.333333,-2.02857142857143,3
24,"6000",-60.583333,53.333333,-1.98571428571429,3
24,"7000",-60.583333,53.333333,-1.45,3
24,"8000",-60.583333,53.333333,-4,2
25,"0",-57.033333,52.516667,-3.4,3
25,"4000",-57.033333,52.516667,-4.4,2
25,"6000",-57.033333,52.516667,-1.6,3
25,"7000",-57.033333,52.516667,-1,3
25,"8000",-57.033333,52.516667,-0.5,3
25,"9000",-57.033333,52.516667,-1,3
25,"10000",-57.033333,52.516667,-4.7,2
27,"3000",-57.366667,54.583333,-3.6,3
27,"4000",-57.366667,54.583333,-4.4,2
27,"5000",-57.366667,54.583333,-2.7,3
