"Dataset_ID","slice","Lat","Lon","MAT"
7,4000,47,-80.116667,3.99074225485325
7,4500,47,-80.116667,3.79074225485325
7,5500,47,-80.116667,5.65740892151992
7,6000,47,-80.116667,5.45740892151992
7,6500,47,-80.116667,4.95740892151992
7,5000,47,-80.116667,4.39074225485325
7,7500,47,-80.116667,6.15740892151992
7,500,47,-80.116667,3.14074225485325
7,1000,47,-80.116667,2.62407558818658
7,1500,47,-80.116667,2.94074225485325
7,2000,47,-80.116667,3.59074225485325
7,2500,47,-80.116667,4.49074225485325
7,3000,47,-80.116667,4.24074225485325
7,3500,47,-80.116667,3.29074225485325
7,7000,47,-80.116667,6.05740892151992
7,0,47,-80.116667,4.09074225485325
8,4500,33.956389,-119.976667,13.9619186666277
8,5000,33.956389,-119.976667,14.3285853332943
8,3500,33.956389,-119.976667,13.545251999961
8,4000,33.956389,-119.976667,14.195251999961
8,0,33.956389,-119.976667,14.1785853332943
8,500,33.956389,-119.976667,13.6160853332943
8,1000,33.956389,-119.976667,14.5285853332943
8,1500,33.956389,-119.976667,13.5785853332943
8,2000,33.956389,-119.976667,14.0285853332943
8,2500,33.956389,-119.976667,13.2785853332943
8,3000,33.956389,-119.976667,13.5285853332943
9,0,43.305556,41.333333,6.2363842167835
9,500,43.305556,41.333333,6.45860643900572
9,1000,43.305556,41.333333,7.4763842167835
9,1500,43.305556,41.333333,7.90305088345017
9,2000,43.305556,41.333333,8.66971755011684
9,2500,43.305556,41.333333,8.33638421678351
9,3000,43.305556,41.333333,8.46138421678351
9,3500,43.305556,41.333333,10.5363842167835
9,4500,43.305556,41.333333,9.11138421678351
12,500,55.934475,13.42774,7.30300264919506
12,1000,55.934475,13.42774,7.58633598252839
12,1500,55.934475,13.42774,8.14050264919505
12,0,55.934475,13.42774,7.05300264919505
12,6500,55.934475,13.42774,8.87800264919505
12,7000,55.934475,13.42774,9.05300264919505
12,7500,55.934475,13.42774,7.16966931586172
12,8000,55.934475,13.42774,6.36300264919505
12,8500,55.934475,13.42774,7.45300264919505
12,9000,55.934475,13.42774,7.32572992192233
12,9500,55.934475,13.42774,7.08027537646778
12,10000,55.934475,13.42774,2.70300264919505
12,3500,55.934475,13.42774,8.55300264919505
12,4000,55.934475,13.42774,9.15300264919505
12,4500,55.934475,13.42774,9.02800264919505
12,5000,55.934475,13.42774,9.13300264919505
12,5500,55.934475,13.42774,9.05300264919505
12,6000,55.934475,13.42774,8.69300264919505
12,2000,55.934475,13.42774,8.11966931586172
12,2500,55.934475,13.42774,7.85300264919505
12,3000,55.934475,13.42774,8.50300264919505
16,500,53.693998,8.729075,8.35834837413969
16,3500,53.693998,8.729075,8.07501504080636
16,4000,53.693998,8.729075,8.92501504080636
16,4500,53.693998,8.729075,7.97501504080636
16,2500,53.693998,8.729075,7.83501504080636
16,1000,53.693998,8.729075,8.94644361223493
16,1500,53.693998,8.729075,8.90001504080636
16,2000,53.693998,8.729075,8.68751504080636
16,3000,53.693998,8.729075,8.12501504080636
20,0,69.12326,27.67406,-1.6173735337598
20,5000,69.12326,27.67406,-1.1673735337598
20,5500,69.12326,27.67406,-2.3173735337598
20,6000,69.12326,27.67406,-0.317373533759798
20,6500,69.12326,27.67406,-1.0173735337598
20,500,69.12326,27.67406,-1.7173735337598
20,1000,69.12326,27.67406,-2.1173735337598
20,1500,69.12326,27.67406,-1.6173735337598
20,2000,69.12326,27.67406,-1.7173735337598
20,2500,69.12326,27.67406,-1.6173735337598
20,3000,69.12326,27.67406,-1.7173735337598
20,3500,69.12326,27.67406,-2.0173735337598
20,4000,69.12326,27.67406,-1.6173735337598
20,4500,69.12326,27.67406,-0.917373533759798
20,8500,69.12326,27.67406,-1.7173735337598
20,7000,69.12326,27.67406,-1.0173735337598
20,7500,69.12326,27.67406,-1.3673735337598
20,8000,69.12326,27.67406,-1.3173735337598
20,9000,69.12326,27.67406,-2.9173735337598
20,9500,69.12326,27.67406,-4.1673735337598
20,10000,69.12326,27.67406,-4.5173735337598
31,1000,60.136667,152.312778,-7.81245844364166
31,3000,60.136667,152.312778,-7.91245844364166
31,1500,60.136667,152.312778,-7.91245844364166
31,2000,60.136667,152.312778,-7.76245844364166
31,2500,60.136667,152.312778,-7.66245844364166
31,7000,60.136667,152.312778,-7.41245844364166
31,7500,60.136667,152.312778,-7.91245844364166
31,8000,60.136667,152.312778,-7.71245844364166
31,8500,60.136667,152.312778,-7.91245844364166
31,9000,60.136667,152.312778,-7.43745844364166
31,9500,60.136667,152.312778,-7.61245844364166
31,3500,60.136667,152.312778,-7.81245844364166
31,4000,60.136667,152.312778,-7.91245844364166
31,4500,60.136667,152.312778,-8.11245844364166
31,5000,60.136667,152.312778,-7.41245844364166
31,5500,60.136667,152.312778,-7.81245844364166
31,6000,60.136667,152.312778,-8.11245844364166
31,6500,60.136667,152.312778,-8.21245844364166
31,0,60.136667,152.312778,-8.41245844364166
31,500,60.136667,152.312778,-7.91245844364166
31,10000,60.136667,152.312778,-7.81245844364166
200,500,43.268056,41.308333,7.37046942981608
200,1000,43.268056,41.308333,6.71213609648275
200,1500,43.268056,41.308333,9.53713609648275
200,2000,43.268056,41.308333,7.28713609648275
203,2500,36.03015,-85.50132,12.7826913091871
203,3500,36.03015,-85.50132,14.2826913091871
203,4000,36.03015,-85.50132,13.4826913091871
203,2000,36.03015,-85.50132,13.6826913091871
203,0,36.03015,-85.50132,15.5326913091871
203,500,36.03015,-85.50132,13.4660246425205
203,1000,36.03015,-85.50132,14.6326913091871
203,1500,36.03015,-85.50132,13.5326913091871
203,7000,36.03015,-85.50132,11.3826913091871
203,8000,36.03015,-85.50132,12.6826913091871
203,5000,36.03015,-85.50132,14.3826913091871
203,6000,36.03015,-85.50132,13.4826913091871
203,9000,36.03015,-85.50132,12.5826913091871
205,500,46.701685,-85.039045,3.97494057246617
205,0,46.701685,-85.039045,3.71160723913284
206,1500,64.65,-128.083333,-9.1463447527452
206,1000,64.65,-128.083333,-7.8963447527452
206,3500,64.65,-128.083333,-9.1963447527452
206,2000,64.65,-128.083333,-7.99634475274519
206,2500,64.65,-128.083333,-7.99634475274519
206,3000,64.65,-128.083333,-8.04634475274519
206,7500,64.65,-128.083333,-8.26301141941186
206,8000,64.65,-128.083333,-9.99634475274519
206,8500,64.65,-128.083333,-10.4296780860785
206,9000,64.65,-128.083333,-10.1963447527452
206,9500,64.65,-128.083333,-11.2963447527452
206,10000,64.65,-128.083333,-10.2963447527452
206,4000,64.65,-128.083333,-7.92134475274519
206,4500,64.65,-128.083333,-9.06301141941186
206,5000,64.65,-128.083333,-8.56301141941186
206,5500,64.65,-128.083333,-8.79634475274519
206,6000,64.65,-128.083333,-8.59634475274519
206,6500,64.65,-128.083333,-8.84634475274519
206,7000,64.65,-128.083333,-9.84634475274519
206,0,64.65,-128.083333,-10.2963447527452
206,500,64.65,-128.083333,-8.7963447527452
208,4500,67.133333,-153.9,-9.18697134531461
